ID Transacao,Nome Transacao,Categoria Transacao,Valor Transacao,Tipo Transacao,Data Transacao
145,Salario live ,salario,3456.35,entrada,Thu Oct 05 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
144,Papelaria,cuidados pessoais,9.5,saida,Wed Oct 11 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
146,Flores e Pelucia,Presente,60,saida,Fri Oct 13 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
147,Bk,gastos fixos,68.8,saida,Fri Oct 13 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
148,Entradas cine,Lazer,24,saida,Sat Oct 14 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
149,"casquinha mc,",Lazer,10,saida,Sat Oct 14 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
150,energético,Gastos desnecessários,8.49,saida,Sun Oct 15 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
152,Smash it,lazer,34.5,saida,Mon Oct 16 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
155,Smash it,lazer,34.5,saida,Mon Oct 16 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
167,açaí,viagem,21.27,saida,Tue Oct 17 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
153,café,gastos desnecessários,67,saida,Tue Oct 17 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
154,açaí,viagem,21.27,saida,Tue Oct 17 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
99,Teste,gastos fixos,243.43,saida,Thu Oct 19 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
156,Bar arena - beach tennis,Lazer,44,saida,Fri Oct 20 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
157,Cabelo,cuidados pessoais,34,saida,Sat Oct 21 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
158,café da manhã,Mercado,13.5,saida,Sun Oct 22 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
159,açaí ifood,cuidados pessoais,23.25,saida,Tue Oct 24 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
160,Paçoca benjamim,Gastos desnecessários,2,saida,Tue Oct 24 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
161,Coxinha,Gastos desnecessários,6.25,saida,Wed Oct 25 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
162,Lojao do real - chocolate,Gastos desnecessários,3.4,saida,Wed Oct 25 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
168,sda,salario,32,entrada,Fri Oct 27 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
163,Lojao do real - sorvete,Gastos desnecessários,9.2,saida,Fri Oct 27 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
164,Lojao do real - chocolate,Gastos desnecessários,2.25,saida,Sat Oct 28 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
165,Lanches tonin,manutenção do carro,44,saida,Sun Oct 29 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
169,Teste,gastos fixos,23,entrada,Mon Oct 30 2023 00:00:00 GMT-0300 (Horário Padrão de Brasília)
